Fecha,Compra,Venta
02-01-2002,"2,00","2,05"
03-01-2002,"2,17","2,20"
07-01-2002,"3,81","3,83"
08-01-2002,"3,63","3,65"
10-01-2002,"3,74","3,75"
11-01-2002,"3,54","3,55"
14-01-2002,"1,63","1,68"
15-01-2002,"1,90","1,95"
16-01-2002,"1,83","1,87"
17-01-2002,"1,92","1,97"
18-01-2002,"1,90","1,95"
21-01-2002,"1,75","1,80"
22-01-2002,"1,80","1,85"
23-01-2002,"1,74","1,77"
24-01-2002,"1,75","1,78"
25-01-2002,"1,75","1,78"
28-01-2002,"1,77","1,80"
29-01-2002,"1,77","1,80"
30-01-2002,"1,90","1,95"
31-01-2002,"2,00","2,05"
04-02-2002,"2,90","2,93"
05-02-2002,"3,12","3,15"
07-02-2002,"3,68","3,70"
08-02-2002,"3,63","3,65"
09-02-2002,"3,61","3,62"
10-02-2002,"3,76","3,77"
12-02-2002,"3,61","3,62"
13-02-2002,"1,95","1,98"
14-02-2002,"1,96","1,99"
15-02-2002,"2,04","2,07"
18-02-2002,"2,05","2,08"
19-02-2002,"2,09","2,12"
20-02-2002,"2,17","2,20"
21-02-2002,"2,03","2,06"
22-02-2002,"2,08","2,11"
24-02-2002,"2,08","2,11"
25-02-2002,"2,13","2,16"
26-02-2002,"2,15","2,18"
27-02-2002,"2,19","2,22"
28-02-2002,"2,17","2,19"
04-03-2002,"2,94","2,97"
05-03-2002,"3,18","3,20"
06-03-2002,"3,63","3,65"
07-03-2002,"3,62","3,64"
09-03-2002,"3,62","3,63"
10-03-2002,"3,77","3,78"
12-03-2002,"3,57","3,58"
13-03-2002,"2,40","2,42"
14-03-2002,"2,44","2,46"
15-03-2002,"2,43","2,45"
18-03-2002,"2,42","2,44"
19-03-2002,"2,44","2,46"
20-03-2002,"2,52","2,54"
21-03-2002,"2,53","2,55"
22-03-2002,"3,00","3,10"
25-03-2002,"3,40","3,60"
26-03-2002,"3,05","3,10"
27-03-2002,"3,00","3,05"
02-04-2002,"2,00","2,05"
03-04-2002,"2,10","2,12"
04-04-2002,"2,82","2,84"
06-04-2002,"3,64","3,66"
07-04-2002,"3,58","3,60"
